benchmark,instance,result,time,comment
Benchmarks/Basic/Static semantics correctness: Assignment 8,Scripted proof,proved,959,timeout=60000 | QE=341 | RCF=0 | proof_steps=794 | tactic_size=15
Benchmarks/Basic/Static semantics correctness: Assignment 9,Scripted proof,proved,865,timeout=60000 | QE=286 | RCF=0 | proof_steps=456 | tactic_size=13
Benchmarks/Basic/Dynamics: Cascaded,Scripted proof,proved,11247,timeout=60000 | QE=960 | RCF=0 | proof_steps=1511 | tactic_size=8
Benchmarks/Basic/Dynamics: Single integrator time,Scripted proof,proved,580,timeout=60000 | QE=187 | RCF=0 | proof_steps=164 | tactic_size=2
Benchmarks/Basic/Dynamics: Single integrator,Scripted proof,proved,585,timeout=60000 | QE=173 | RCF=0 | proof_steps=152 | tactic_size=2
Benchmarks/Basic/Dynamics: Double integrator,Scripted proof,proved,1430,timeout=60000 | QE=481 | RCF=0 | proof_steps=1332 | tactic_size=2
Benchmarks/Basic/Dynamics: Triple integrator,Scripted proof,proved,1578,timeout=60000 | QE=542 | RCF=0 | proof_steps=1069 | tactic_size=2
Benchmarks/Basic/Dynamics: Exponential decay (1),Scripted proof,proved,745,timeout=60000 | QE=240 | RCF=0 | proof_steps=144 | tactic_size=2
Benchmarks/Basic/Dynamics: Exponential decay (2),Scripted proof,proved,770,timeout=60000 | QE=252 | RCF=0 | proof_steps=144 | tactic_size=2
Benchmarks/Basic/Dynamics: Exponential decay (3),Scripted proof,proved,781,timeout=60000 | QE=310 | RCF=0 | proof_steps=199 | tactic_size=2
Benchmarks/Basic/Dynamics: Exponential growth (1),Scripted proof,proved,616,timeout=60000 | QE=188 | RCF=0 | proof_steps=194 | tactic_size=2
Benchmarks/Basic/Dynamics: Exponential growth (2),Scripted proof,proved,1093,timeout=60000 | QE=297 | RCF=0 | proof_steps=526 | tactic_size=2
Benchmarks/Basic/Dynamics: Exponential growth (4),Scripted proof,proved,6396,timeout=60000 | QE=441 | RCF=0 | proof_steps=165 | tactic_size=3
Benchmarks/Basic/Dynamics: Exponential growth (5),Scripted proof,proved,878,timeout=60000 | QE=319 | RCF=0 | proof_steps=333 | tactic_size=2
Benchmarks/Basic/Dynamics: Rotational dynamics (1),Scripted proof,proved,1212,timeout=60000 | QE=645 | RCF=0 | proof_steps=796 | tactic_size=2
Benchmarks/Basic/Dynamics: Rotational dynamics (2),Scripted proof,proved,4543,timeout=60000 | QE=2866 | RCF=0 | proof_steps=7829 | tactic_size=2
Benchmarks/Basic/Dynamics: Rotational dynamics (3),Scripted proof,proved,1557,timeout=60000 | QE=759 | RCF=0 | proof_steps=1719 | tactic_size=2
Benchmarks/Basic/Dynamics: Spiral to equilibrium,Scripted proof,proved,1010,timeout=60000 | QE=429 | RCF=0 | proof_steps=643 | tactic_size=2
